v1234,v2341
v1234,v3241
v3241,v2413
v3241,v4213
v4213,v2134
v4213,v1234
v2134,v1342
v2134,v3142
v3142,v1423
v3142,v4123
v4123,v1234
v4123,v2134
v1423,v4231
v1423,v2431
v2431,v4312
v2431,v3412
v3412,v4123
v3412,v1423
v4312,v3124
v4312,v1324
v1324,v3241
v1324,v2341
v2341,v3412
v2341,v4312
v3124,v1243
v3124,v2143
v2143,v1432
v2143,v4132
v4132,v1324
v4132,v3124
v1432,v4321
v1432,v3421
v3421,v4213
v3421,v2413
v2413,v4132
v2413,v1432
v4321,v3214
v4321,v2314
v2314,v3142
v2314,v1342
v1342,v3421
v1342,v4321
v3214,v2143
v3214,v1243
v1243,v2431
v1243,v4231
v4231,v2314
v4231,v3214

